Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
1024,141.0,11295,1.6373133000015514,"[1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 2, 0, 0, 0, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 2, 0, 0, 2, 2, 2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1]",10,0.2,4096
2048,141.0,15970,2.4086058999964735,"[1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 2, 0, 0, 0, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 2, 0, 0, 2, 2, 2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1]",10,0.2,4096
4096,141.0,15970,2.4086058999964735,"[1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 2, 0, 0, 0, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 2, 0, 0, 2, 2, 2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1]",10,0.2,4096
0,110.0,20,0.0018249000058858655,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",20,0.02,4096
1,110.0,41,0.011928200001420919,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",20,0.02,4096
2,110.0,62,0.02428930000314722,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",20,0.02,4096
4,111.0,105,0.03649500000028638,"[2, 1, 1, 2, 2, 0, 0, 0, 2, 1, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 0, 0, 0, 2, 1, 2, 2, 0, 1, 2, 2, 2, 1, 1, 0, 1, 0, 0, 1, 0, 2, 1]",20,0.02,4096
8,119.0,192,0.054949700002907775,"[1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0, 0, 2, 1, 1, 1, 2, 2, 0, 2, 0, 1, 0, 2, 2, 0, 2, 2, 0, 1, 2, 1, 2, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1]",20,0.02,4096
16,123.0,361,0.09219610000582179,"[2, 2, 0, 2, 2, 2, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1, 0, 2, 1, 2, 0, 1, 0, 0, 0, 0, 2, 0, 1, 2, 0, 2, 2, 0, 1, 2, 1, 2, 1, 1, 0, 0, 2, 0, 1, 0, 2, 1]",20,0.02,4096
32,131.0,702,0.14594270000088727,"[2, 2, 0, 2, 1, 2, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 0, 1, 2, 2, 2, 2, 0, 2, 2, 0, 1, 2, 1, 2, 0, 1, 0, 0, 2, 1, 1, 1, 2, 1]",20,0.02,4096
64,131.0,1374,0.23249720000603702,"[2, 2, 0, 2, 1, 2, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 0, 1, 2, 2, 2, 2, 0, 2, 2, 0, 1, 2, 1, 2, 0, 1, 0, 0, 2, 1, 1, 1, 2, 1]",20,0.02,4096
128,132.0,2719,0.40788550000434043,"[2, 2, 0, 2, 2, 2, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 0, 1, 2, 2, 2, 2, 0, 2, 2, 1, 1, 2, 1, 2, 0, 1, 0, 0, 2, 1, 1, 1, 2, 1]",20,0.02,4096
256,133.0,5408,0.7421747000043979,"[2, 2, 0, 2, 2, 2, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 1, 2, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 0, 2, 2, 1, 1, 2, 1, 2, 0, 1, 0, 0, 2, 1, 1, 1, 2, 1]",20,0.02,4096
512,139.0,10789,1.4900299000000814,"[2, 2, 0, 2, 0, 2, 0, 0, 2, 1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 0, 2, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 0, 2, 2, 2, 1, 2, 1, 2, 0, 1, 0, 0, 0, 2, 1, 1, 2, 1]",20,0.02,4096
1024,139.0,21121,2.9574559000029694,"[2, 2, 0, 2, 0, 2, 0, 0, 2, 1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2, 0, 2, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 0, 2, 2, 2, 1, 2, 1, 2, 0, 1, 0, 0, 0, 2, 1, 1, 2, 1]",20,0.02,4096
